	filepath	title
0	dataset/images/train/1.jpg	dataset/captions/train/1.txt
1	dataset/images/train/100034.jpg	dataset/captions/train/100034.txt
2	dataset/images/train/100073.jpg	dataset/captions/train/100073.txt
3	dataset/images/train/100088.jpg	dataset/captions/train/100088.txt
4	dataset/images/train/100221.jpg	dataset/captions/train/100221.txt
5	dataset/images/train/100232.jpg	dataset/captions/train/100232.txt
6	dataset/images/train/100247.jpg	dataset/captions/train/100247.txt
7	dataset/images/train/100254.jpg	dataset/captions/train/100254.txt
8	dataset/images/train/10031.jpg	dataset/captions/train/10031.txt
9	dataset/images/train/10032.jpg	dataset/captions/train/10032.txt
10	dataset/images/train/10042.jpg	dataset/captions/train/10042.txt
11	dataset/images/train/100599.jpg	dataset/captions/train/100599.txt
12	dataset/images/train/10071.jpg	dataset/captions/train/10071.txt
13	dataset/images/train/100824.jpg	dataset/captions/train/100824.txt
14	dataset/images/train/100922.jpg	dataset/captions/train/100922.txt
15	dataset/images/train/100932.jpg	dataset/captions/train/100932.txt
16	dataset/images/train/101074.jpg	dataset/captions/train/101074.txt
17	dataset/images/train/10117.jpg	dataset/captions/train/10117.txt
18	dataset/images/train/101171.jpg	dataset/captions/train/101171.txt
19	dataset/images/train/101255.jpg	dataset/captions/train/101255.txt
20	dataset/images/train/101269.jpg	dataset/captions/train/101269.txt
21	dataset/images/train/101296.jpg	dataset/captions/train/101296.txt
22	dataset/images/train/10132.jpg	dataset/captions/train/10132.txt
23	dataset/images/train/101339.jpg	dataset/captions/train/101339.txt
24	dataset/images/train/101393.jpg	dataset/captions/train/101393.txt
25	dataset/images/train/101443.jpg	dataset/captions/train/101443.txt
26	dataset/images/train/101453.jpg	dataset/captions/train/101453.txt
27	dataset/images/train/101691.jpg	dataset/captions/train/101691.txt
28	dataset/images/train/101723.jpg	dataset/captions/train/101723.txt
29	dataset/images/train/10174.jpg	dataset/captions/train/10174.txt
30	dataset/images/train/101796.jpg	dataset/captions/train/101796.txt
31	dataset/images/train/101805.jpg	dataset/captions/train/101805.txt
32	dataset/images/train/101957.jpg	dataset/captions/train/101957.txt
33	dataset/images/train/102134.jpg	dataset/captions/train/102134.txt
34	dataset/images/train/102162.jpg	dataset/captions/train/102162.txt
35	dataset/images/train/102182.jpg	dataset/captions/train/102182.txt
36	dataset/images/train/10225.jpg	dataset/captions/train/10225.txt
37	dataset/images/train/102358.jpg	dataset/captions/train/102358.txt
38	dataset/images/train/102400.jpg	dataset/captions/train/102400.txt
39	dataset/images/train/102478.jpg	dataset/captions/train/102478.txt
40	dataset/images/train/1025.jpg	dataset/captions/train/1025.txt
41	dataset/images/train/102541.jpg	dataset/captions/train/102541.txt
42	dataset/images/train/102551.jpg	dataset/captions/train/102551.txt
43	dataset/images/train/102554.jpg	dataset/captions/train/102554.txt
44	dataset/images/train/10280.jpg	dataset/captions/train/10280.txt
45	dataset/images/train/102817.jpg	dataset/captions/train/102817.txt
46	dataset/images/train/102867.jpg	dataset/captions/train/102867.txt
47	dataset/images/train/102919.jpg	dataset/captions/train/102919.txt
48	dataset/images/train/102944.jpg	dataset/captions/train/102944.txt
49	dataset/images/train/102949.jpg	dataset/captions/train/102949.txt
50	dataset/images/train/103062.jpg	dataset/captions/train/103062.txt
51	dataset/images/train/103084.jpg	dataset/captions/train/103084.txt
52	dataset/images/train/10312.jpg	dataset/captions/train/10312.txt
53	dataset/images/train/103194.jpg	dataset/captions/train/103194.txt
54	dataset/images/train/103365.jpg	dataset/captions/train/103365.txt
55	dataset/images/train/103371.jpg	dataset/captions/train/103371.txt
56	dataset/images/train/103419.jpg	dataset/captions/train/103419.txt
57	dataset/images/train/103483.jpg	dataset/captions/train/103483.txt
58	dataset/images/train/103631.jpg	dataset/captions/train/103631.txt
59	dataset/images/train/103650.jpg	dataset/captions/train/103650.txt
60	dataset/images/train/10376.jpg	dataset/captions/train/10376.txt
61	dataset/images/train/103777.jpg	dataset/captions/train/103777.txt
62	dataset/images/train/103801.jpg	dataset/captions/train/103801.txt
63	dataset/images/train/103819.jpg	dataset/captions/train/103819.txt
64	dataset/images/train/103948.jpg	dataset/captions/train/103948.txt
65	dataset/images/train/103989.jpg	dataset/captions/train/103989.txt
66	dataset/images/train/103992.jpg	dataset/captions/train/103992.txt
67	dataset/images/train/104001.jpg	dataset/captions/train/104001.txt
68	dataset/images/train/104019.jpg	dataset/captions/train/104019.txt
69	dataset/images/train/104101.jpg	dataset/captions/train/104101.txt
70	dataset/images/train/104108.jpg	dataset/captions/train/104108.txt
71	dataset/images/train/104163.jpg	dataset/captions/train/104163.txt
72	dataset/images/train/104183.jpg	dataset/captions/train/104183.txt
